%time,field.header.seq,field.header.stamp,field.header.frame_id,field.armed,field.failsafe,field.rc_override,field.offboard,field.control_mode,field.error_code,field.num_errors,field.loop_time_us
1564692293897351978,117,1564692293896535919,,0,0,1,0,2,4,27724,125
1564692293997556742,118,1564692293996794685,,0,0,1,0,2,4,27728,31
1564692294099308538,119,1564692294096867946,,0,0,1,0,2,4,27732,125
1564692294198411029,120,1564692294196995042,,0,0,1,0,2,4,27736,31
1564692294297650315,121,1564692294296797673,,0,0,1,0,2,4,27740,31
1564692294399496530,122,1564692294398609178,,0,0,1,0,2,4,27744,31
1564692294500108219,123,1564692294498818276,,0,0,1,0,2,4,27748,32
1564692294599271253,124,1564692294598944996,,0,0,1,0,2,4,27752,125
1564692294699765106,125,1564692294698814212,,0,0,1,0,2,4,27758,125
1564692294799777867,126,1564692294798828264,,0,0,1,0,2,4,27762,282
1564692294900496266,127,1564692294898949859,,0,0,1,0,2,4,27766,63
1564692295001964015,128,1564692295000968036,,0,0,1,0,2,4,27770,31
1564692295103144590,129,1564692295100939920,,0,0,1,0,2,4,27774,125
1564692295201226394,130,1564692295200848553,,0,0,1,0,2,4,27778,63
1564692295302410345,131,1564692295300838480,,0,0,1,0,2,4,27780,125
1564692295401658840,132,1564692295400831114,,0,0,1,0,2,4,27784,31
1564692295504417073,133,1564692295502873999,,0,0,1,0,2,4,27788,32
1564692295604442666,134,1564692295602833383,,0,0,1,0,2,4,27792,32
1564692295703837539,135,1564692295702928395,,0,0,1,0,2,4,27798,31
1564692295803667795,136,1564692295802845820,,0,0,1,0,2,4,27802,31
1564692295903777474,137,1564692295902723703,,0,0,1,0,2,4,27806,31
1564692296004385830,138,1564692296002763672,,0,0,1,0,2,4,27810,125
1564692296106077875,139,1564692296104840766,,0,0,1,0,2,4,27814,187
1564692296205453872,140,1564692296204841484,,0,0,1,0,2,4,27818,32
1564692296305261169,141,1564692296304873703,,0,0,1,0,2,4,27822,125
1564692296406143114,142,1564692296404699793,,0,0,1,0,2,4,27826,63
1564692296505794033,143,1564692296504977558,,0,0,1,0,2,4,27830,93
1564692296607282782,144,1564692296606876690,,0,0,1,0,2,4,27834,31
1564692296708133434,145,1564692296706874325,,0,0,1,0,2,4,27840,31
1564692296807790646,146,1564692296806849376,,0,0,1,0,2,4,27844,31
1564692296908719550,147,1564692296906977972,,0,0,1,0,2,4,27848,281
1564692297008401428,148,1564692297006863188,,0,0,1,0,2,4,27852,63
1564692297108846822,149,1564692297108503690,,0,0,1,0,2,4,27856,32
1564692297209996189,150,1564692297209037961,,0,0,1,0,2,4,27860,31
1564692297310081992,151,1564692297308919593,,0,0,1,0,2,4,27864,281
1564692297410119586,152,1564692297408883686,,0,0,1,0,2,4,27868,31
1564692297510664732,153,1564692297508796152,,0,0,1,0,2,4,27872,31
1564692297609997728,154,1564692297608877580,,0,0,1,0,2,4,27876,62
1564692297711694481,155,1564692297711021176,,0,0,1,0,2,4,27882,63
1564692297811992622,156,1564692297811026103,,0,0,1,0,2,4,27884,125
1564692297911409537,157,1564692297911012446,,0,0,1,0,2,4,27888,125
1564692298012362775,158,1564692298010916162,,0,0,1,0,2,4,27892,125
1564692298111838899,159,1564692298110887796,,0,0,1,0,2,4,27896,31
1564692298214397753,160,1564692298212908306,,0,0,1,0,2,4,27900,125
1564692298313706665,161,1564692298312890607,,0,0,1,0,2,4,27904,219
1564692298414230436,162,1564692298412934785,,0,0,1,0,2,4,27908,188
1564692298514007483,163,1564692298512797250,,0,0,1,0,2,4,27912,63
1564692298614538046,164,1564692298612934804,,0,0,1,0,2,4,27916,63
1564692298713741497,165,1564692298712779769,,0,0,1,0,2,4,27920,31
1564692298815916969,166,1564692298814886031,,0,0,1,0,2,4,27924,125
1564692298916013647,167,1564692298914919041,,0,0,1,0,2,4,27928,344
1564692299016493875,168,1564692299015169973,,0,0,1,0,2,4,27932,125
1564692299116441426,169,1564692299114898769,,0,0,1,0,2,4,27936,281
1564692299216035469,170,1564692299214805110,,0,0,1,0,2,4,27940,93
1564692299318037270,171,1564692299316911247,,0,0,1,0,2,4,27944,219
1564692299417690148,172,1564692299417032176,,0,0,1,0,2,4,27948,187
1564692299517987664,173,1564692299517078270,,0,0,1,0,2,4,27952,62
1564692299618051967,174,1564692299616913902,,0,0,1,0,2,4,27956,31
1564692299718153895,175,1564692299716800993,,0,0,1,0,2,4,27962,125
1564692299820064444,176,1564692299818953672,,0,0,1,0,2,4,27966,281
1564692299919400774,177,1564692299918932598,,0,0,1,0,2,4,27970,375
1564692300020011921,178,1564692300019042360,,0,0,1,0,2,4,27974,31
1564692300121311500,179,1564692300120589152,,0,0,1,0,2,4,27978,63
1564692300221438637,180,1564692300219017338,,0,0,1,0,2,4,27982,94
1564692300320231122,181,1564692300318781509,,0,0,1,0,2,4,27986,31
1564692300421779331,182,1564692300421374197,,0,0,1,0,2,4,27988,125
1564692300524205765,183,1564692300522604441,,0,0,1,0,2,4,27992,32
1564692300622871623,184,1564692300620960834,,0,0,1,0,2,4,27996,63
1564692300724496499,185,1564692300721502188,,0,0,1,0,2,4,28002,125
1564692300822584387,186,1564692300821057564,,0,0,1,0,2,4,28006,94
1564692300925046364,187,1564692300924687023,,0,0,1,0,2,4,28010,125
1564692301024629699,188,1564692301023023666,,0,0,1,0,2,4,28014,31
1564692301124112323,189,1564692301122958216,,0,0,1,0,2,4,28018,31
1564692301224261711,190,1564692301222939934,,0,0,1,0,2,4,28022,93
1564692301325326659,191,1564692301324844566,,0,0,1,0,2,4,28026,94
1564692301426218646,192,1564692301425154166,,0,0,1,0,2,4,28030,94
1564692301525341179,193,1564692301524953921,,0,0,1,0,2,4,28034,62
1564692301625252937,194,1564692301624955348,,0,0,1,0,2,4,28038,62
1564692301727353949,195,1564692301726606475,,0,0,1,0,2,4,28044,187
1564692301826725612,196,1564692301825213498,,0,0,1,0,2,4,28048,125
1564692301927042754,197,1564692301924971503,,0,0,1,0,2,4,28052,31
1564692302027407771,198,1564692302026987679,,0,0,1,0,2,4,28056,31
1564692302130041793,199,1564692302128850769,,0,0,1,0,2,4,28060,62
1564692302228057721,200,1564692302226977032,,0,0,1,0,2,4,28064,93
1564692302328068189,201,1564692302327000084,,0,0,1,0,2,4,28068,32
1564692302427909779,202,1564692302426982344,,0,0,1,0,2,4,28072,31
1564692302531704075,203,1564692302530733972,,0,0,1,0,2,4,28076,94
1564692302629993092,204,1564692302628990363,,0,0,1,0,2,4,28080,31
1564692302729985102,205,1564692302728995456,,0,0,1,0,2,4,28086,32
1564692302830952673,206,1564692302829399350,,0,0,1,0,2,4,28090,219
1564692302930003414,207,1564692302928877599,,0,0,1,0,2,4,28092,188
1564692303031261366,208,1564692303030621561,,0,0,1,0,2,4,28096,94
1564692303131904431,209,1564692303131018287,,0,0,1,0,2,4,28100,31
1564692303231627185,210,1564692303231011922,,0,0,1,0,2,4,28104,94
1564692303332541922,211,1564692303331147185,,0,0,1,0,2,4,28108,219
1564692303432161216,212,1564692303430997858,,0,0,1,0,2,4,28112,188
1564692303533051910,213,1564692303532647444,,0,0,1,0,2,4,28116,32
1564692303634413865,214,1564692303633195298,,0,0,1,0,2,4,28120,94
1564692303733852488,215,1564692303733150891,,0,0,1,0,2,4,28126,250
1564692303834208881,216,1564692303833008939,,0,0,1,0,2,4,28130,31
1564692303934068179,217,1564692303933035116,,0,0,1,0,2,4,28134,32
1564692304033996063,218,1564692304033012751,,0,0,1,0,2,4,28138,125
1564692304135283182,219,1564692304135005385,,0,0,1,0,2,4,28142,31
1564692304236212711,220,1564692304235025270,,0,0,1,0,2,4,28146,32
1564692304335326203,221,1564692304335025905,,0,0,1,0,2,4,28150,63
1564692304436268066,222,1564692304435020290,,0,0,1,0,2,4,28154,63
1564692304535969611,223,1564692304535036092,,0,0,1,0,2,4,28158,31
1564692304638655051,224,1564692304637073352,,0,0,1,0,2,4,28162,125
