%time,field.header.seq,field.header.stamp,field.header.frame_id,field.dur,field.meanXYZ0,field.meanXYZ1,field.meanXYZ2,field.meanAcc,field.obs,field.meanXYZHP0,field.meanXYZHP1,field.meanXYZHP2,field.valid,field.active
1576103816444916103,116,1576103816444303906,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103816544029018,117,1576103816543468599,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103816644604921,118,1576103816644055272,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103816744618114,119,1576103816744020052,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103816843905893,120,1576103816843313737,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103816944273107,121,1576103816943745052,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103817049195811,122,1576103817048416103,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103817142361922,123,1576103817141624522,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103817244615751,124,1576103817244024909,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103817344225183,125,1576103817343667883,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103817444093023,126,1576103817443551726,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103817544487014,127,1576103817543990610,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103817644146960,128,1576103817643607858,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103817744120244,129,1576103817743502783,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103817844610304,130,1576103817843958244,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103817944216292,131,1576103817943569539,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103818046573304,132,1576103818046003713,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103818144681436,133,1576103818144162962,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103818244189530,134,1576103818243534996,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103818344002733,135,1576103818343417744,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103818444512282,136,1576103818443976894,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103818544164606,137,1576103818543519549,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103818644141122,138,1576103818643518072,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103818744739623,139,1576103818744282224,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103818843975529,140,1576103818843489450,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103818941811071,141,1576103818941347958,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103819049210596,142,1576103819048622933,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103819144400002,143,1576103819143899734,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103819243994564,144,1576103819243458548,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103819344605292,145,1576103819344059049,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103819444314497,146,1576103819443686807,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103819544104358,147,1576103819543573842,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103819646186400,148,1576103819645440822,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103819744232916,149,1576103819743723159,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103819842306667,150,1576103819841592284,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103819944727666,151,1576103819944151769,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103820049128612,152,1576103820048544776,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103820144353584,153,1576103820143665151,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103820244591940,154,1576103820244081805,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103820344312801,155,1576103820343714078,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103820443971799,156,1576103820443504934,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103820544649069,157,1576103820543928457,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103820644231619,158,1576103820643604077,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103820742024038,159,1576103820741414515,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103820844340089,160,1576103820843800220,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103820943926841,161,1576103820943381583,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103821048785370,162,1576103821048130027,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103821145221347,163,1576103821144643664,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103821244613994,164,1576103821244010999,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103821344069489,165,1576103821343542331,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103821444762569,166,1576103821444027461,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103821544129119,167,1576103821543538566,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103821642299879,168,1576103821641550246,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103821744614843,169,1576103821743934708,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103821844329506,170,1576103821843527722,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103821944084291,171,1576103821943468541,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103822049253969,172,1576103822048671209,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103822144950991,173,1576103822144243133,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103822244362980,174,1576103822243673645,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103822344693402,175,1576103822344033584,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103822444206684,176,1576103822443580448,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103822542007998,177,1576103822541362144,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103822644810266,178,1576103822644141879,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103822744034166,179,1576103822743472128,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103822844205783,180,1576103822843621122,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103822944181558,181,1576103822943599899,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103823049061300,182,1576103823048281453,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103823144558578,183,1576103823143997403,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103823244736242,184,1576103823244230968,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103823344539747,185,1576103823344008817,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103823442450096,186,1576103823441620887,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103823544760760,187,1576103823544093340,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103823644544801,188,1576103823643989002,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103823744336326,189,1576103823743621122,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103823844690983,190,1576103823844079744,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103823944716936,191,1576103823944172206,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103824048819843,192,1576103824048411706,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103824144977790,193,1576103824144448469,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103824244182441,194,1576103824243815918,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
1576103824342172923,195,1576103824341549528,,120,41150773.42,38417491.13,4099826.7,18643,1030,0.22,0.251,0.012,1,0
